Epoch 131/500, Train miss rmse:0.2020, obse rmse:0.1062, porosity:0.0150 G loss:5.5452, d loss:0.0141, g loss:4.0498, g loss temp:2.3684, MSE loss:0.0168
Epoch 132/500, Train miss rmse:0.1834, obse rmse:0.1168, porosity:0.0049 G loss:4.2202, d loss:0.0170, g loss:3.7340, g loss temp:1.7524, MSE loss:0.0198
Epoch 133/500, Train miss rmse:0.1833, obse rmse:0.1162, porosity:0.0078 G loss:3.8291, d loss:0.0100, g loss:3.0498, g loss temp:1.1034, MSE loss:0.0195
Epoch 134/500, Train miss rmse:0.1960, obse rmse:0.1064, porosity:0.0145 G loss:5.0286, d loss:0.0094, g loss:3.5747, g loss temp:1.9025, MSE loss:0.0167
Epoch 135/500, Train miss rmse:0.1928, obse rmse:0.1093, porosity:0.0095 G loss:4.8358, d loss:0.0166, g loss:3.8892, g loss temp:2.1561, MSE loss:0.0173
Epoch 136/500, Train miss rmse:0.1992, obse rmse:0.1041, porosity:0.0177 G loss:5.4355, d loss:0.0096, g loss:3.6653, g loss temp:2.0805, MSE loss:0.0158
Epoch 137/500, Train miss rmse:0.1763, obse rmse:0.1183, porosity:0.0065 G loss:4.0980, d loss:0.0164, g loss:3.4464, g loss temp:1.4847, MSE loss:0.0196
Epoch 138/500, Train miss rmse:0.1818, obse rmse:0.1142, porosity:0.0168 G loss:4.5999, d loss:0.0108, g loss:2.9150, g loss temp:1.0285, MSE loss:0.0189
Epoch 139/500, Train miss rmse:0.1947, obse rmse:0.1071, porosity:0.0058 G loss:4.4483, d loss:0.0077, g loss:3.8640, g loss temp:2.1257, MSE loss:0.0174
Epoch 140/500, Train miss rmse:0.2026, obse rmse:0.0995, porosity:0.0183 G loss:5.7914, d loss:0.0084, g loss:3.9572, g loss temp:2.5293, MSE loss:0.0143
Epoch 141/500, Train miss rmse:0.1915, obse rmse:0.1073, porosity:0.0060 G loss:4.7419, d loss:0.0172, g loss:4.1428, g loss temp:2.3672, MSE loss:0.0178
Epoch 142/500, Train miss rmse:0.1997, obse rmse:0.1043, porosity:0.0216 G loss:5.6977, d loss:0.0117, g loss:3.5421, g loss temp:2.0221, MSE loss:0.0152
Epoch 143/500, Train miss rmse:0.1963, obse rmse:0.1054, porosity:0.0095 G loss:4.5346, d loss:0.0107, g loss:3.5878, g loss temp:1.9684, MSE loss:0.0162
Epoch 144/500, Train miss rmse:0.1954, obse rmse:0.1047, porosity:0.0070 G loss:4.3192, d loss:0.0073, g loss:3.6175, g loss temp:1.9457, MSE loss:0.0167
Epoch 145/500, Train miss rmse:0.1954, obse rmse:0.1027, porosity:0.0148 G loss:4.9531, d loss:0.0093, g loss:3.4761, g loss temp:1.9187, MSE loss:0.0156
Epoch 146/500, Train miss rmse:0.1899, obse rmse:0.1053, porosity:0.0067 G loss:4.1585, d loss:0.0109, g loss:3.4925, g loss temp:1.8184, MSE loss:0.0167
Epoch 147/500, Train miss rmse:0.1912, obse rmse:0.1049, porosity:0.0045 G loss:3.7824, d loss:0.0104, g loss:3.3291, g loss temp:1.7037, MSE loss:0.0163
Epoch 148/500, Train miss rmse:0.1805, obse rmse:0.1097, porosity:0.0103 G loss:4.1721, d loss:0.0039, g loss:3.1415, g loss temp:1.3635, MSE loss:0.0178
Epoch 149/500, Train miss rmse:0.1748, obse rmse:0.1118, porosity:0.0094 G loss:3.8668, d loss:0.0060, g loss:2.9299, g loss temp:0.9971, MSE loss:0.0193
Epoch 150/500, Train miss rmse:0.1902, obse rmse:0.1063, porosity:0.0072 G loss:4.3717, d loss:0.0079, g loss:3.6538, g loss temp:1.9582, MSE loss:0.0170
Epoch 151/500, Train miss rmse:0.1860, obse rmse:0.1082, porosity:0.0096 G loss:4.5244, d loss:0.0087, g loss:3.5621, g loss temp:1.8907, MSE loss:0.0167
Epoch 152/500, Train miss rmse:0.1735, obse rmse:0.1153, porosity:0.0086 G loss:3.7568, d loss:0.0094, g loss:2.8967, g loss temp:1.0691, MSE loss:0.0183
Epoch 153/500, Train miss rmse:0.1982, obse rmse:0.1011, porosity:0.0120 G loss:5.5158, d loss:0.0076, g loss:4.3143, g loss temp:2.8020, MSE loss:0.0151
