Epoch 200/3000, Train miss rmse:0.1658, obse rmse:0.1492, Test miss rmse:0.1770, obse rmse:0.1583
Epoch 201/3000, Train miss rmse:0.1656, obse rmse:0.1493, Test miss rmse:0.1766, obse rmse:0.1585
Epoch 202/3000, Train miss rmse:0.1650, obse rmse:0.1494, Test miss rmse:0.1761, obse rmse:0.1584
Epoch 203/3000, Train miss rmse:0.1652, obse rmse:0.1486, Test miss rmse:0.1764, obse rmse:0.1576
Epoch 204/3000, Train miss rmse:0.1656, obse rmse:0.1479, Test miss rmse:0.1767, obse rmse:0.1570
Epoch 205/3000, Train miss rmse:0.1650, obse rmse:0.1481, Test miss rmse:0.1763, obse rmse:0.1572
Epoch 206/3000, Train miss rmse:0.1656, obse rmse:0.1476, Test miss rmse:0.1768, obse rmse:0.1569
Epoch 207/3000, Train miss rmse:0.1644, obse rmse:0.1481, Test miss rmse:0.1756, obse rmse:0.1573
Epoch 208/3000, Train miss rmse:0.1648, obse rmse:0.1471, Test miss rmse:0.1763, obse rmse:0.1563
Epoch 209/3000, Train miss rmse:0.1639, obse rmse:0.1481, Test miss rmse:0.1752, obse rmse:0.1573
Epoch 210/3000, Train miss rmse:0.1647, obse rmse:0.1464, Test miss rmse:0.1763, obse rmse:0.1557
Epoch 211/3000, Train miss rmse:0.1634, obse rmse:0.1475, Test miss rmse:0.1747, obse rmse:0.1567
Epoch 212/3000, Train miss rmse:0.1635, obse rmse:0.1469, Test miss rmse:0.1751, obse rmse:0.1564
Epoch 213/3000, Train miss rmse:0.1637, obse rmse:0.1463, Test miss rmse:0.1753, obse rmse:0.1555
Epoch 214/3000, Train miss rmse:0.1627, obse rmse:0.1474, Test miss rmse:0.1744, obse rmse:0.1569
Epoch 215/3000, Train miss rmse:0.1633, obse rmse:0.1458, Test miss rmse:0.1750, obse rmse:0.1551
Epoch 216/3000, Train miss rmse:0.1638, obse rmse:0.1449, Test miss rmse:0.1756, obse rmse:0.1543
Epoch 217/3000, Train miss rmse:0.1627, obse rmse:0.1464, Test miss rmse:0.1744, obse rmse:0.1559
Epoch 218/3000, Train miss rmse:0.1630, obse rmse:0.1460, Test miss rmse:0.1747, obse rmse:0.1554
Epoch 219/3000, Train miss rmse:0.1630, obse rmse:0.1448, Test miss rmse:0.1747, obse rmse:0.1542
